epoch,phase,mean_loss,std_loss
1,global,698.2740,25.83140
2,global,682.53896,26.19399
3,global,667.81507,22.9765
4,global,653.4271,27.35099
5,global,639.85199,24.68298
6,global,626.73096,28.14200
7,global,614.2950,23.8760
8,global,601.843,25.9370
9,global,589.72596,27.65400
10,global,578.142,26.81899
11,global,566.835,24.27597
12,global,555.92697,28.463
13,global,545.31802,22.8950
14,global,535.174,25.64103
15,global,525.39603,29.12800
16,global,515.8370,23.75397
17,global,506.592,26.48198
18,global,497.651,27.9130
19,global,488.725,24.16699
20,global,480.13599,28.35400
21,global,471.852,25.6980
22,global,463.794,26.9320
23,global,455.9270,22.4850
24,global,448.316,27.16897
25,global,440.873,24.83199
26,global,433.65203,29.14598
27,global,426.518,25.37397
28,global,419.637,26.89503
29,global,412.854,23.7610
30,global,406.19201,28.4320
31,global,399.726,24.98301
32,global,393.415,27.1560
33,global,387.294,22.8470
34,global,381.352,26.59397
35,global,375.518,29.12698
36,global,369.852,25.46299
37,global,364.327,27.8940
38,global,358.916,24.1650
39,global,353.685,28.3720
40,global,348.592,26.83103
41,global,343.627,23.7540
42,global,338.792,27.1460
43,global,334.085,25.98299
44,global,329.462,28.4950
45,global,324.937,22.8760
46,global,320.518,26.31400
47,global,316.194,29.12800
48,global,311.976,24.7650
49,global,307.852,27.49301
50,global,303.83704,25.84198
51,local,300.72598,24.16700
52,local,297.815,26.49198
53,local,294.92698,28.35400
54,local,292.13597,23.87503
55,local,289.462,27.14602
56,local,286.794,25.9830
57,local,284.192,29.1280
58,local,281.685,22.87602
59,local,279.273,26.31400
60,local,276.937,24.76497
61,local,274.685,27.49298
62,local,272.518,25.84196
63,local,270.42697,24.1670
64,local,268.426,26.4920
65,local,266.518,28.35402
66,local,264.685,23.8750
67,local,262.927,27.1460
68,local,261.254,25.98299
69,local,259.685,29.12798
70,local,258.192,22.8760
71,local,256.794,26.31398
72,local,255.462,24.7650
73,local,254.192,27.49298
74,local,252.93698,25.84200
75,local,251.72597,24.16703
76,local,250.51797,26.49202
77,local,249.427,28.35400
78,local,248.316,23.87503
79,local,247.273,27.1460
80,local,246.192,25.98300
81,local,245.136,29.1280
82,local,244.085,22.87602
83,local,243.027,26.31400
84,local,242.046,24.7650
85,local,241.085,27.4930
86,local,240.136,25.84198
87,local,239.192,24.16697
88,local,238.273,26.49203
89,local,237.427,28.3540
90,local,236.518,23.8750
91,local,235.685,27.14597
92,local,234.794,25.9830
93,local,233.927,29.1280
94,local,233.085,22.87598
95,local,232.273,26.3140
96,local,231.462,24.7650
97,local,230.685,27.49302
98,local,229.937,25.84197
99,local,229.192,24.16699
100,local,228.462,26.49201
101,local,227.726,28.35400
102,local,227.046,23.87503
103,local,226.427,27.14602
104,local,225.794,25.9830
105,local,225.136,29.1280
106,local,224.518,22.8760
107,local,223.927,26.31400
108,local,223.316,24.76502
109,local,222.726,27.4930
110,local,222.136,25.84200
111,local,221.518,24.16702
112,local,220.927,26.49201
113,local,220.427,28.35399
114,local,219.937,23.87500
115,local,219.462,27.14601
116,local,218.927,25.98302
117,local,218.462,29.1280
118,local,217.937,22.8760
119,local,217.427,26.3140
120,local,216.927,24.76503
121,local,216.427,27.49299
122,local,215.937,25.84198
123,local,215.462,24.16700
124,local,214.937,26.4920
125,local,214.427,28.35401
126,local,213.93697,23.87497
127,local,213.462,27.14603
128,local,212.937,25.9830
129,local,212.427,29.1280
130,local,211.937,22.87598
131,local,211.427,26.31399
132,local,210.927,24.7650
133,local,210.427,27.49299
134,local,209.937,25.84202
135,local,209.462,24.16701
136,local,208.937,26.49200
137,local,208.427,28.35398
138,local,207.937,23.87501
139,local,207.462,27.14597
140,local,206.937,25.98299
141,local,206.427,29.12803
142,local,205.937,22.87602
143,local,205.427,26.31401
144,local,204.927,24.76499
145,local,204.427,27.49297
146,local,203.93698,25.84199
147,local,203.462,24.16703
148,local,202.937,26.49198
149,local,202.427,28.35400
150,local,201.937,23.87496
151,local,201.462,27.1460
152,local,200.937,25.98303
153,local,200.427,29.12800
154,local,199.937,22.87602
155,local,199.427,26.31397
156,local,198.927,24.7650
157,local,198.427,27.49303
158,local,197.937,25.84199
159,local,197.462,24.16699
160,local,196.937,26.4920
161,local,196.427,28.35400
162,local,195.937,23.87501
163,local,195.462,27.14602
164,local,194.937,25.98301
165,local,194.427,29.12799
166,local,193.937,22.87601
167,local,193.427,26.31400
168,local,192.927,24.76497
169,local,192.427,27.49298
170,local,191.937,25.8420
171,local,191.462,24.16702
172,local,190.937,26.49200
173,local,190.427,28.35402
174,local,189.937,23.8750
175,local,189.462,27.14599
176,local,188.937,25.98297
177,local,188.427,29.12800
178,local,187.937,22.87598
179,local,187.427,26.31403
180,local,186.927,24.76501
181,local,186.427,27.49297
182,local,185.937,25.8420
183,local,185.462,24.16698
184,local,184.937,26.49201
185,local,184.427,28.35403
186,local,183.937,23.87499
187,local,183.462,27.14600
188,local,182.937,25.98302
189,local,182.427,29.12801
190,local,181.937,22.8760
191,local,181.427,26.31402
192,local,180.927,24.7650
193,local,180.427,27.49299
194,local,179.937,25.84201
195,local,179.462,24.16702
196,local,178.937,26.4920
197,local,178.427,28.35397
198,local,177.937,23.87503
199,local,177.462,27.1460
200,local,176.937,25.98299
